,STATION,geo,CensusTract
328,QUEENSBORO PLZ,"(40.84071899990795, -73.93956099985425)",36061025100
329,RALPH AV,"(40.73005400028978, -73.99106999861966)",36061005700
330,RECTOR ST,"(40.71880300107709, -74.00019299927328)",36061004500
331,RIT-MANHATTAN,"(40.745630001138395, -73.90298400173006)",36081026100
332,RIT-ROOSEVELT,"(40.816029252510006, -73.91779152760981)",36005006500
333,ROCKAWAY AV,"(40.64390459860419, -73.96435779623125)",36047152200
334,ROCKAWAY BLVD,"(40.64390459860419, -73.96435779623125)",36047152200
335,ROCKAWAY PARK B,"(40.73005400028978, -73.99106999861966)",36061005700
336,ROOSEVELT ISLND,"(40.71830605618619, -73.98740940202974)",36061001402
337,SARATOGA AV,"(40.70289855287313, -73.81701287135405)",36081021600
338,SENECA AVE,"(40.59092700078133, -73.7969239998421)",36081095400
339,SHEEPSHEAD BAY,"(40.732254493367876, -74.00030814755975)",36061006500
340,SHEPHERD AV,"(40.732254493367876, -74.00030814755975)",36061006500
341,SIMPSON ST,"(40.75746830782865, -73.96907237490204)",36061009800
342,SMITH-9 ST,"(40.75698735912575, -73.9205264716827)",36081015700
343,SOUTH FERRY,"(40.75172999941711, -73.85533399834884)",36081040100
344,SPRING ST,"(40.74458699983993, -73.93099699953838)",36081017900
345,ST LAWRENCE AV,"(40.82652500055904, -73.8862829985325)",36005012102
346,ST. GEORGE,"(40.75698735912575, -73.9205264716827)",36081015700
347,STEINWAY ST,"(40.61662166725951, -74.03087600085765)",36047005400
348,STERLING ST,"(40.68595099878361, -73.82579799906613)",36081010600
349,SUTPHIN BLVD,"(40.71804465348743, -73.83692369387158)",36081076901
350,SUTPHIN-ARCHER,"(40.75172999941711, -73.85533399834884)",36081040100
351,SUTTER AV,"(40.59092700078133, -73.7969239998421)",36081095400
352,SUTTER AV-RUTLD,"(40.75172999941711, -73.85533399834884)",36081040100
353,THIRTY ST,"(40.66914500061398, -73.9019160004208)",36047090800
354,THIRTY THIRD ST,"(40.877839385172024, -73.86613410538703)",36005037800
355,TIMES SQ-42 ST,"(40.703844000042096, -73.94735499884204)",36047049100
356,TOMPKINSVILLE,"(40.75746830782865, -73.96907237490204)",36061009800
357,TREMONT AV,"(40.745630001138395, -73.90298400173006)",36081026100
358,TWENTY THIRD ST,"(40.82042099969279, -73.93624499873299)",36061023200
359,UNION ST,"(40.67731566735096, -73.98310999909673)",36047011900
360,UTICA AV,"(40.750635651014804, -73.9401635351909)",36081001900
361,V.CORTLANDT PK,"(40.707571999615695, -73.80328900021885)",36081023600
362,VAN SICLEN AV,"(40.67802821447783, -73.89165772702445)",36047119800
363,VAN SICLEN AVE,"(40.67802821447783, -73.89165772702445)",36047119800
364,VERNON-JACKSON,"(40.76824700063689, -73.98192900232715)",36061014500
365,W 4 ST-WASH SQ,"(40.761431998800546, -73.92582299919906)",36081005900
366,W 8 ST-AQUARIUM,"(40.82042099969279, -73.93624499873299)",36061023200
367,WAKEFIELD/241,"(40.68286062551184, -73.90526176305106)",36047040500
368,WALL ST,"(40.65665931376077, -73.95007934590994)",36047080400
369,WEST FARMS SQ,"(40.85345300155693, -73.9076840015997)",36005024300
370,WESTCHESTER SQ,"(40.66476678877493, -73.92252118536001)",36047090000
371,WHITEHALL S-FRY,"(40.66914500061398, -73.9019160004208)",36047090800
372,WHITLOCK AV,"(40.61925870977273, -73.99884094850685)",36047026200
373,WILSON AV,"(40.82042099969279, -73.93624499873299)",36061023200
374,WINTHROP ST,"(40.70291899894902, -73.90758199885423)",36081054900
375,WOODHAVEN BLVD,"(40.690648119969794, -73.98177094440949)",36047003100
376,WOODLAWN,"(40.903125000541245, -73.8506199987954)",36005043400
377,WORLD TRADE CTR,"(40.61925870977273, -73.99884094850685)",36047026200
378,YORK ST,"(40.58654754707536, -73.95405791257907)",36047060600
379,ZEREGA AV,"(40.6627729934283, -73.95072891124937)",36047032900
